elapsed,OS,CPU,CPU_OS,RAM,RAM_OS,SWAP_OS,I/O_output,I/O_input
0.0,Linux,1769.2,0.0,60.3828125,1689.05859375,1775.90625,0.0,0.0
1.002,Linux,82.9,25.7,205.51953125,1777.59375,1775.83203125,0.015625,47.796875
2.003,Linux,82.9,12.7,549.12109375,2100.6328125,1775.83203125,0.015625,246.59375
3.004,Linux,77.9,11.2,835.1171875,2409.62109375,1775.83203125,0.0,339.3125
4.005,Linux,101.9,14.3,880.19140625,2424.89453125,1775.83203125,0.0,43.328125
5.006,Linux,78.9,12.5,909.66015625,2402.98046875,1775.828125,0.015625,210.625
6.008,Linux,107.8,20.5,1010.046875,2529.5546875,1775.82421875,0.0,0.0
7.009,Linux,118.9,18.7,1047.52734375,2571.80859375,1775.4921875,0.015625,0.26953125
8.01,Linux,43.9,11.7,1053.6171875,2570.72265625,1775.4921875,0.0078125,0.0
9.012,Linux,43.9,11.8,1059.7890625,2561.14453125,1775.48828125,0.00390625,0.0
10.014,Linux,45.9,12.0,1072.73828125,2584.2578125,1775.48828125,0.00390625,0.25
11.016,Linux,40.9,11.5,1072.73828125,2584.47265625,1775.48828125,0.00390625,0.0
12.018,Linux,43.9,11.4,1072.73828125,2584.21875,1775.48828125,0.00390625,0.0
13.019,Linux,42.9,10.9,1072.73828125,2584.21484375,1775.48828125,0.00390625,0.0
14.021,Linux,40.9,10.9,1072.73828125,2582.703125,1775.48828125,0.00390625,0.0
15.023,Linux,48.9,11.8,1072.73828125,2580.984375,1775.48828125,0.01171875,0.02734375
16.025,Linux,62.9,12.2,1072.73828125,2578.46875,1775.17578125,0.0078125,0.05078125
17.026,Linux,70.9,13.3,1072.75390625,2576.52734375,1775.16796875,0.0,0.171875
18.028,Linux,46.9,11.2,1072.7578125,2575.125,1775.16796875,0.0078125,0.0
19.029,Linux,55.9,16.7,1074.17578125,2594.98046875,1775.1640625,0.0703125,2.6640625
20.031,Linux,42.0,40.4,1074.17578125,2823.55859375,1775.1640625,0.00390625,0.01171875
21.032,Linux,46.0,39.9,1074.17578125,2891.99609375,1775.1640625,0.00390625,0.0
22.033,Linux,39.0,37.0,1074.17578125,3075.52734375,1775.1640625,0.00390625,0.0
23.034,Linux,52.9,48.7,1074.17578125,3159.5703125,1773.31640625,0.00390625,0.0
24.035,Linux,49.9,48.6,1074.17578125,3155.39453125,1772.3046875,0.00390625,0.0
25.037,Linux,44.9,38.9,1074.17578125,3165.1328125,1772.3046875,0.00390625,0.0
26.039,Linux,43.9,36.1,1074.17578125,3164.9375,1772.2890625,0.00390625,0.0
27.04,Linux,49.9,38.7,1074.1796875,3187.578125,1772.2890625,0.00390625,0.0
28.041,Linux,49.9,39.1,1074.1796875,3187.5,1777.9296875,0.00390625,0.0
29.042,Linux,45.9,37.3,1074.1796875,3237.12890625,1780.890625,0.00390625,0.0
30.043,Linux,50.9,39.1,1074.1796875,3318.3515625,1785.05859375,0.00390625,0.0
