os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 2 (soldier),AMD Ryzen 5 3450U with Radeon Vega Mobile Gfx,Radeon Vega Series / Radeon Vega Mobile Series,5948644,6.17.0-35-generic,,schedutil
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
0.787985,1269.06,14.5385,2,54,54,200,0,0.735523,0,2.66532,4945298480
2.05024,487.747,19.9605,3,55,55,200,0,0.738712,0,2.79688,5433042228
247.532,4.03989,19.9605,3,55,55,200,0,0.738712,0,2.79688,5437083805
60.5812,16.5068,19.9605,3,55,55,200,0,0.738712,0,2.79688,5453595837
52.105,19.192,16.6253,11,55,55,200,0,0.769962,0,2.81976,5472787440
17.4672,57.2503,16.6253,11,55,55,200,0,0.769962,0,2.81976,5530035337
93.7927,10.6618,16.6253,11,55,55,200,0,0.769962,0,2.81976,5540697723
92.7747,10.7788,16.6253,11,55,55,200,0,0.769962,0,2.81976,5551477460
56.5351,17.6881,16.6253,11,55,55,200,0,0.769962,0,2.81976,5569168156
66.2498,15.0944,16.6253,11,55,55,200,0,0.769962,0,2.81976,5584261911
58.8256,16.9994,16.6253,11,55,55,200,0,0.769962,0,2.81976,5601261655
57.4984,17.3918,16.6253,11,55,55,200,0,0.769962,0,2.81976,5618654590
62.8173,15.9192,16.6253,11,55,55,200,0,0.769962,0,2.81976,5634574009
57.9654,17.2517,16.6253,11,55,55,200,0,0.769962,0,2.81976,5651826043
60.9812,16.3985,16.6253,11,55,55,200,0,0.769962,0,2.81976,5668225224
59.8739,16.7018,16.6253,11,55,55,200,0,0.769962,0,2.81976,5684927436
60.0508,16.6526,16.6253,11,55,55,200,0,0.769962,0,2.81976,5701580988
60.466,16.5382,16.6253,11,55,55,200,0,0.769962,0,2.81976,5718119760
59.9317,16.6857,16.6253,11,55,55,200,0,0.769962,0,2.81976,5734806112
57.4496,17.4066,16.6253,11,55,55,200,0,0.769962,0,2.81976,5752213087
60.1807,16.6166,16.6253,11,55,55,200,0,0.769962,0,2.81976,5768830599
59.6218,16.7724,16.6253,11,55,55,200,0,0.769962,0,2.81976,5785603471
59.2536,16.8766,16.6253,11,55,55,200,0,0.769962,0,2.81976,5802481084
59.2265,16.8843,16.6253,11,55,55,200,0,0.769962,0,2.81976,5819365967
60.9023,16.4197,16.6253,11,55,55,200,0,0.769962,0,2.81976,5835785768
59.8613,16.7053,16.6253,11,55,55,200,0,0.769962,0,2.81976,5852492040
61.1301,16.3586,16.6253,11,55,55,200,0,0.769962,0,2.81976,5868851491
59.4604,16.8179,16.6253,11,55,55,200,0,0.769962,0,2.81976,5885670014
59.2493,16.8778,16.6253,11,55,55,200,0,0.769962,0,2.81976,5902548637
57.9248,17.2638,16.6253,11,55,55,200,0,0.769962,0,2.81976,5919813111
61.6341,16.2248,16.6253,11,55,55,200,0,0.769962,0,2.81976,5936038491
59.1549,16.9048,16.6253,11,55,55,200,0,0.769962,0,2.81976,5952944085
60.3609,16.567,16.6253,11,55,55,200,0,0.769962,0,2.81976,5969517416
59.5321,16.7977,18.2716,39,54,54,200,0,0.798294,0,2.83102,5986310049
59.2159,16.8873,18.2716,39,54,54,200,0,0.798294,0,2.83102,6003198062
60.2946,16.5852,18.2716,39,54,54,200,0,0.798294,0,2.83102,6019783953
60.1754,16.6181,18.2716,39,54,54,200,0,0.798294,0,2.83102,6036402745
58.2703,17.1614,18.2716,39,54,54,200,0,0.798294,0,2.83102,6053565039
59.222,16.8856,18.2716,39,54,54,200,0,0.798294,0,2.83102,6070450982
60.8065,16.4456,18.2716,39,54,54,200,0,0.798294,0,2.83102,6086897243
59.5494,16.7928,18.2716,39,54,54,200,0,0.798294,0,2.83102,6103690586
61.2871,16.3167,18.2716,39,54,54,200,0,0.798294,0,2.83102,6120008186
58.4326,17.1137,18.2716,39,54,54,200,0,0.798294,0,2.83102,6137122510
55.7001,17.9533,18.2716,39,54,54,200,0,0.798294,0,2.83102,6155076808
65.3035,15.3131,18.2716,39,54,54,200,0,0.798294,0,2.83102,6170390214
58.7855,17.011,18.2716,39,54,54,200,0,0.798294,0,2.83102,6187401858
60.8224,16.4413,18.2716,39,54,54,200,0,0.798294,0,2.83102,6203843659
60.5285,16.5212,18.2716,39,54,54,200,0,0.798294,0,2.83102,6220364910
59.0389,16.938,18.2716,39,54,54,200,0,0.798294,0,2.83102,6237304113
58.9482,16.9641,18.2716,39,54,54,200,0,0.798294,0,2.83102,6254268687
58.9551,16.9621,18.2716,39,54,54,200,0,0.798294,0,2.83102,6271231820
62.9817,15.8776,18.2716,39,54,54,200,0,0.798294,0,2.83102,6287109409
35.3726,28.2705,18.2716,39,54,54,200,0,0.798294,0,2.83102,6315380911
172.11,5.81023,18.2716,39,54,54,200,0,0.798294,0,2.83102,6321191556
61.0942,16.3682,18.2716,39,54,54,200,0,0.798294,0,2.83102,6337560617
59.1425,16.9083,18.2716,39,54,54,200,0,0.798294,0,2.83102,6354469480
58.6302,17.056,18.2716,39,54,54,200,0,0.798294,0,2.83102,6371525883
61.2808,16.3183,18.2716,39,54,54,200,0,0.798294,0,2.83102,6387845054
59.0921,16.9227,18.2716,39,54,54,200,0,0.798294,0,2.83102,6404768277
58.7466,17.0223,18.2716,39,54,54,200,0,0.798294,0,2.83102,6421791561
60.2113,16.6082,18.2716,39,54,54,200,0,0.798294,0,2.83102,6438399962
60.4423,16.5447,18.2716,39,54,54,200,0,0.798294,0,2.83102,6454945304
59.0384,16.9381,18.2716,39,54,54,200,0,0.798294,0,2.83102,6471890507
60.6593,16.4855,10.6599,34,53,53,200,0,0.792435,0,2.83269,6488371048
59.8036,16.7214,10.6599,34,53,53,200,0,0.792435,0,2.83269,6505092951
59.632,16.7695,10.6599,34,53,53,200,0,0.792435,0,2.83269,6521863453
59.1173,16.9155,10.6599,34,53,53,200,0,0.792435,0,2.83269,6538779916
59.7657,16.732,10.6599,34,53,53,200,0,0.792435,0,2.83269,6555512458
58.7363,17.0252,10.6599,34,53,53,200,0,0.792435,0,2.83269,6572538502
60.86,16.4311,10.6599,34,53,53,200,0,0.792435,0,2.83269,6588969733
60.2179,16.6064,10.6599,34,53,53,200,0,0.792435,0,2.83269,6605576525
59.8147,16.7183,10.6599,34,53,53,200,0,0.792435,0,2.83269,6622295617
60.3418,16.5723,10.6599,34,53,53,200,0,0.792435,0,2.83269,6638868859
59.6313,16.7697,10.6599,34,53,53,200,0,0.792435,0,2.83269,6655638961
58.2484,17.1679,10.6599,34,53,53,200,0,0.792435,0,2.83269,6672807365
59.4589,16.8183,10.6599,34,53,53,200,0,0.792435,0,2.83269,6689626908
60.4468,16.5435,10.6599,34,53,53,200,0,0.792435,0,2.83269,6706170929
58.0947,17.2133,10.6599,34,53,53,200,0,0.792435,0,2.83269,6723385214
61.5521,16.2464,10.6599,34,53,53,200,0,0.792435,0,2.83269,6739632084
59.325,16.8563,10.6599,34,53,53,200,0,0.792435,0,2.83269,6756488897
56.7568,17.619,10.6599,34,53,53,200,0,0.792435,0,2.83269,6774108893
63.5214,15.7427,10.6599,34,53,53,200,0,0.792435,0,2.83269,6789852631
59.5379,16.796,10.6599,34,53,53,200,0,0.792435,0,2.83269,6806648764
57.7759,17.3082,10.6599,34,53,53,200,0,0.792435,0,2.83269,6823958348
59.702,16.7499,10.6599,34,53,53,200,0,0.792435,0,2.83269,6840708451
60.2102,16.6085,10.6599,34,53,53,200,0,0.792435,0,2.83269,6857317693
58.8698,16.9867,10.6599,34,53,53,200,0,0.792435,0,2.83269,6874306946
61.0913,16.3689,10.6599,34,53,53,200,0,0.792435,0,2.83269,6890675977
60.2274,16.6038,10.6599,34,53,53,200,0,0.792435,0,2.83269,6907280768
60.2594,16.5949,10.6599,34,53,53,200,0,0.792435,0,2.83269,6923875960
59.6448,16.7659,10.6599,34,53,53,200,0,0.792435,0,2.83269,6940642543
59.8686,16.7033,10.6599,34,53,53,200,0,0.792435,0,2.83269,6957346925
58.823,17.0001,10.6599,34,53,53,200,0,0.792435,0,2.83269,6974357398
60.9,16.4204,8.6076,34,53,53,200,0,0.792435,0,2.83125,6990770599
56.9304,17.5653,8.6076,34,53,53,200,0,0.792435,0,2.83125,7008336095
57.6948,17.3326,8.6076,34,53,53,200,0,0.792435,0,2.83125,7025669230
62.94,15.8881,8.6076,34,53,53,200,0,0.792435,0,2.83125,7041557959
60.2202,16.6057,8.6076,34,53,53,200,0,0.792435,0,2.83125,7058164311
58.7355,17.0255,8.6076,34,53,53,200,0,0.792435,0,2.83125,7075190094
60.9012,16.42,8.6076,34,53,53,200,0,0.792435,0,2.83125,7091610915
59.1714,16.9001,8.6076,34,53,53,200,0,0.792435,0,2.83125,7108511828
59.9447,16.682,8.6076,34,53,53,200,0,0.792435,0,2.83125,7125194230
59.5396,16.7955,8.6076,34,53,53,200,0,0.792435,0,2.83125,7141990583
60.0534,16.6518,8.6076,34,53,53,200,0,0.792435,0,2.83125,7158643305
58.7987,17.0072,8.6076,34,53,53,200,0,0.792435,0,2.83125,7175651208
60.4348,16.5468,8.6076,34,53,53,200,0,0.792435,0,2.83125,7192199060
59.3084,16.861,8.6076,34,53,53,200,0,0.792435,0,2.83125,7209079123
62.2306,16.0693,8.6076,34,53,53,200,0,0.792435,0,2.83125,7225130122
59.1245,16.9135,8.6076,34,53,53,200,0,0.792435,0,2.83125,7242044715
60.851,16.4336,8.6076,34,53,53,200,0,0.792435,0,2.83125,7258478516
