elapsed,OS,CPU,CPU_OS,RAM,RAM_OS,SWAP_OS,I/O_output,I/O_input,fps,frametime
0.0,Linux,0.0,0.0,25.41015625,1886.71875,1006.640625,0.0,0.2421875,NaN,NaN
1.001,Linux,77.9,29.5,174.7890625,2002.68359375,1006.27734375,0.015625,54.8203125,NaN,NaN
2.003,Linux,84.9,13.7,465.36328125,2259.25,1006.27734375,0.015625,213.5234375,NaN,NaN
3.004,Linux,75.9,11.4,825.10546875,2536.1796875,1008.87890625,0.0,353.4765625,NaN,NaN
4.006,Linux,102.9,15.5,869.91796875,2516.2421875,1008.87890625,0.0,35.59375,NaN,NaN
5.007,Linux,78.9,12.0,886.609375,2533.6796875,1008.87890625,0.015625,200.63671875,0.694537,1439.81
6.008,Linux,117.9,25.1,973.45703125,2591.3984375,1097.6796875,0.0,0.0,57.913,17.2673
7.009,Linux,105.9,16.2,1021.0234375,2636.98828125,1158.16015625,0.00390625,1.85546875,62.6779,15.9546
8.011,Linux,86.9,16.9,1017.34765625,2640.3125,1176.27734375,0.01953125,3.37890625,63.0609,15.8577
9.012,Linux,31.0,9.2,1017.37109375,2640.52734375,1176.12109375,0.00390625,0.02734375,62.6034,15.9736
10.012,Linux,47.0,11.6,1016.72265625,2640.5234375,1182.84375,0.0,0.0078125,57.5198,17.3853
11.013,Linux,50.9,13.4,1017.1640625,2640.72265625,1195.58203125,0.00390625,0.33203125,59.5124,16.8032
12.015,Linux,40.9,11.4,1016.75390625,2640.75,1196.00390625,0.00390625,0.125,58.9945,16.9507
13.016,Linux,47.9,11.9,1016.390625,2640.3359375,1196.3671875,0.01171875,0.03515625,1.36973,730.072
14.017,Linux,61.9,12.7,1016.39453125,2640.07421875,1196.2890625,0.0078125,0.140625,55.6989,17.9537
15.019,Linux,65.9,13.4,1015.22265625,2644.30078125,1196.765625,0.00390625,0.05078125,63.6932,15.7003
16.02,Linux,46.9,11.0,1015.40234375,2643.234375,1196.61328125,0.00390625,0.1875,57.404,17.4204
17.022,Linux,45.9,11.6,1015.40234375,2642.765625,1196.6015625,0.00390625,0.12109375,59.272,16.8714
18.024,Linux,46.9,11.7,1015.41015625,2642.30859375,1196.55859375,0.00390625,0.015625,61.2925,16.3152
19.025,Linux,50.9,12.6,1015.42578125,2642.65625,1196.484375,0.0078125,0.01171875,55.356,18.0649
20.026,Linux,56.9,14.9,1000.66796875,2642.21484375,1213.578125,0.0703125,0.51953125,58.7469,17.0222
21.027,Linux,50.0,41.0,791.6875,2604.4765625,1422.00390625,0.00390625,0.37890625,59.7838,16.7269
22.028,Linux,47.0,49.7,704.14453125,2655.4296875,1538.1875,0.00390625,0.4375,60.7911,16.4498
23.029,Linux,45.9,45.8,697.41015625,2654.8125,1543.21875,0.00390625,0.1953125,60.1939,16.613
24.031,Linux,45.9,36.9,594.0546875,2740.26171875,1660.828125,0.0078125,0.015625,61.3273,16.306
25.032,Linux,50.9,40.7,594.0859375,2819.33984375,1660.79296875,0.00390625,0.01171875,69.3139,14.4271
26.034,Linux,47.9,40.4,594.12109375,2819.4140625,1660.76171875,0.00390625,0.0,60.6107,16.4987
27.035,Linux,47.9,35.7,594.125,2828.73046875,1660.6953125,0.00390625,0.0,68.3701,14.6263
28.036,Linux,38.9,34.8,594.1328125,2828.88671875,1660.6953125,0.00390625,0.01171875,60.2635,16.5938
29.039,Linux,49.9,38.9,594.1328125,2853.68359375,1660.69140625,0.00390625,0.0,65.3158,15.3102
30.041,Linux,50.9,38.0,594.13671875,2906.96875,1660.69140625,0.00390625,0.0,54.1418,18.47
31.042,Linux,45.9,39.3,594.13671875,2975.14453125,1660.5390625,0.00390625,0.0,62.6211,15.969
32.044,Linux,49.9,39.1,594.13671875,3054.25,1660.5390625,0.00390625,0.0,57.8943,17.2729
33.046,Linux,48.9,39.6,594.140625,3136.44921875,1660.45703125,0.00390625,0.09765625,59.1339,16.9108
34.047,Linux,48.9,40.2,594.19921875,3239.546875,1660.17578125,0.00390625,0.078125,57.2889,17.4554
35.049,Linux,51.9,40.1,594.20703125,3328.47265625,1659.40234375,0.00390625,0.01171875,60.9095,16.4178
36.05,Linux,45.9,38.8,594.20703125,3393.9375,1659.375,0.00390625,0.01171875,62.1863,16.0807
37.053,Linux,50.9,39.4,594.20703125,3449.43359375,1659.375,0.00390625,0.0,61.5188,16.2552
38.055,Linux,49.9,40.8,594.2421875,3489.35546875,1659.34375,0.00390625,0.0234375,55.4105,18.0471
39.057,Linux,52.9,41.2,594.2421875,3537.50390625,1659.29296875,0.00390625,0.0,60.2737,16.591
40.059,Linux,51.9,40.1,594.2421875,3572.77734375,1659.23046875,0.0078125,0.0,62.6157,15.9704
41.06,Linux,47.9,39.6,594.2421875,3777.73046875,1659.22265625,0.00390625,0.0,60.9099,16.4177
42.061,Linux,43.0,37.9,594.2421875,3860.875,1659.22265625,0.00390625,0.0,60.5938,16.5034
43.063,Linux,39.9,36.1,594.24609375,3938.89453125,1663.27734375,0.00390625,0.0234375,59.6976,16.7511
44.064,Linux,40.9,35.4,594.24609375,4041.87109375,1663.27734375,0.00390625,0.0,58.5741,17.0724
45.065,Linux,40.0,36.0,594.25,4131.36328125,1663.27734375,0.00390625,0.0,63.7902,15.6764
46.066,Linux,41.0,36.4,594.26953125,4227.47265625,1663.2578125,0.00390625,0.01171875,58.6537,17.0492
47.067,Linux,43.9,37.4,594.26953125,4251.26953125,1663.2578125,0.0078125,0.09765625,59.7015,16.75
48.069,Linux,47.0,37.4,594.26953125,4251.0078125,1663.2578125,0.00390625,0.09375,61.4687,16.2684
49.07,Linux,40.9,25.2,594.26953125,4342.1796875,1663.2578125,0.00390625,0.0,60.3132,16.5801
50.072,Linux,41.9,25.0,594.26953125,4462.48046875,1663.2578125,0.00390625,0.0625,52.8442,18.9236
51.074,Linux,43.9,26.5,594.26953125,4499.2890625,1663.2578125,0.00390625,0.0,59.9178,16.6895
52.076,Linux,47.9,19.7,594.26953125,4495.73828125,1663.2578125,0.00390625,0.0,62.4107,16.0229
53.077,Linux,49.9,16.7,596.83984375,4497.30859375,1662.55078125,0.28125,1.20703125,0.610977,1636.72
54.079,Linux,100.9,18.9,613.59765625,4514.7890625,1649.9765625,0.00390625,18.66015625,NaN,NaN
55.08,Linux,98.9,17.7,617.9375,4518.0078125,1645.73046875,0.0078125,18.55078125,0.694133,1440.65
