elapsed,OS,CPU,CPU_OS,RAM,RAM_OS,SWAP_OS,I/O_output,I/O_input,fps,frametime
0.0020000000000000018,Linux,81.9,19.2,241.234375,1979.83203125,1429.8828125,0.02734375,6.328125,NaN,NaN
1.0030000000000001,Linux,72.9,10.8,727.00390625,2462.5859375,1429.8828125,0.0,370.15625,NaN,NaN
2.005,Linux,88.9,14.4,831.4375,2503.48046875,1429.8828125,0.0,214.734375,NaN,NaN
3.0060000000000002,Linux,93.9,13.1,872.11328125,2531.734375,1429.8828125,0.0,90.078125,NaN,NaN
4.007,Linux,90.9,19.1,918.37109375,2594.12109375,1429.8828125,0.015625,139.43359375,NaN,NaN
5.008,Linux,104.9,14.8,1026.80078125,2690.5546875,1429.8828125,0.00390625,0.0,0.801021,1248.41
6.01,Linux,96.8,16.6,1045.8125,2685.74609375,1429.8828125,0.01171875,0.3359375,56.3508,17.746
7.0120000000000005,Linux,31.9,9.3,1045.84375,2683.0234375,1429.8828125,0.0078125,0.0,58.9292,16.9695
8.013,Linux,44.9,10.9,1051.953125,2681.8125,1429.8828125,0.00390625,0.0,59.4834,16.8114
9.015,Linux,32.9,9.3,1051.953125,2679.55859375,1429.8828125,0.01171875,0.0,59.7586,16.734
10.016,Linux,55.9,12.5,1064.9296875,2687.015625,1429.8828125,0.0078125,0.0,58.9125,16.9743
11.018,Linux,42.9,11.4,1064.9296875,2681.234375,1429.8828125,0.00390625,0.0,59.734,16.7409
12.019,Linux,40.9,10.4,1064.9296875,2681.3125,1429.8828125,0.00390625,0.0,64.1913,15.5784
13.021,Linux,43.9,10.8,1064.9296875,2681.2734375,1429.8828125,0.00390625,0.0,59.845,16.7098
14.022,Linux,42.9,11.3,1064.9296875,2681.26953125,1429.8828125,0.00390625,0.0,59.4105,16.832
15.024000000000001,Linux,41.9,11.4,1064.9296875,2681.25390625,1429.875,0.00390625,0.0,59.9588,16.6781
16.026,Linux,45.9,12.3,1064.9296875,2680.48046875,1429.875,0.00390625,0.0,60.0102,16.6638
17.028,Linux,44.9,11.6,1064.9296875,2679.6796875,1429.875,0.00390625,0.0,60.4792,16.5346
18.029,Linux,42.9,11.2,1064.9296875,2678.86328125,1429.875,0.00390625,0.0,57.0322,17.5339
19.031,Linux,44.9,11.4,1064.9296875,2677.91015625,1429.875,0.00390625,0.0,63.5441,15.7371
20.032,Linux,42.9,10.8,1064.9296875,2677.2890625,1429.875,0.0078125,0.09375,63.0619,15.8574
21.034,Linux,42.9,20.8,1064.953125,2659.8515625,1423.32421875,0.00390625,0.0234375,61.4206,16.2812
22.036,Linux,49.9,20.1,1064.953125,2656.54296875,1421.5390625,0.0078125,0.0234375,56.2214,17.7868
23.037,Linux,91.9,14.7,1064.96875,2657.296875,1420.921875,0.0078125,0.0390625,1.28607,777.563
24.039,Linux,46.9,12.1,1064.96875,2656.31640625,1420.921875,0.00390625,0.0,62.7151,15.9451
25.04,Linux,44.9,11.7,1064.97265625,2656.078125,1420.921875,0.00390625,0.0,59.5727,16.7862
26.042,Linux,45.9,12.3,1064.9765625,2656.06640625,1420.921875,0.0078125,0.0,60.3996,16.5564
27.044,Linux,52.9,31.6,1067.71484375,2844.8984375,1420.921875,0.0703125,0.0,58.6621,17.0468
28.045,Linux,41.9,40.4,1067.71484375,2987.54296875,1420.91796875,0.00390625,0.0,56.3156,17.7571
29.046,Linux,42.0,38.8,1067.71484375,3055.6953125,1420.9140625,0.00390625,0.0,58.3725,17.1314
30.048,Linux,46.9,37.7,1067.71484375,3248.5546875,1420.9140625,0.0078125,0.03125,60.3935,16.5581
31.049999999999997,Linux,49.9,40.9,1067.71484375,3273.23828125,1420.9140625,0.00390625,0.140625,62.3286,16.044
32.051,Linux,42.9,37.4,1067.71484375,3285.64453125,1420.9140625,0.00390625,0.0,58.9771,16.9557
33.053,Linux,40.9,35.7,1067.71484375,3285.77734375,1420.9140625,0.00390625,0.0,61.3901,16.2893
