elapsed,OS,CPU,CPU_OS,RAM,RAM_OS,SWAP_OS,I/O_output,I/O_input,fps,frametime
0.001,Linux,0.0,100.0,116.89453125,1993.75390625,2039.34765625,0.0,0.0,NaN,NaN
1.002,Linux,79.9,21.1,236.0546875,2120.69140625,2038.01953125,0.02734375,3.73046875,NaN,NaN
2.003,Linux,74.9,17.7,613.046875,2556.97265625,2038.0078125,0.0,354.1171875,NaN,NaN
3.005,Linux,88.9,23.4,840.91015625,2587.24609375,2059.8671875,0.0,236.69140625,NaN,NaN
4.006,Linux,100.9,19.7,880.44140625,2644.015625,2059.8515625,0.0,26.359375,NaN,NaN
5.007,Linux,82.9,13.8,916.0078125,2626.64453125,2060.1796875,0.015625,205.2734375,0.729612,1370.59
6.009,Linux,103.8,22.3,1013.5234375,2725.453125,2060.328125,0.0,1.015625,23.4803,42.5889
7.01,Linux,108.9,43.6,1050.84375,2537.6171875,1819.03125,0.015625,22.0703125,61.5383,16.2501
8.011,Linux,66.9,15.2,1056.94921875,2544.41796875,1819.03125,0.0078125,5.23828125,62.1902,16.0797
9.013,Linux,49.9,11.1,1076.02734375,2564.61328125,1819.02734375,0.00390625,0.00390625,59.5969,16.7794
10.014,Linux,40.9,10.4,1076.02734375,2559.3125,1819.02734375,0.00390625,0.0,60.3079,16.5816
11.016,Linux,38.9,9.3,1076.02734375,2556.078125,1819.02734375,0.00390625,0.0,61.2656,16.3224
12.018,Linux,42.9,10.9,1076.02734375,2553.7734375,1819.02734375,0.00390625,0.0,63.104,15.8469
13.02,Linux,39.9,9.8,1076.02734375,2552.4921875,1819.02734375,0.00390625,0.0,44.6469,22.398
14.021,Linux,50.9,11.5,1076.02734375,2549.6953125,1819.02734375,0.01171875,0.203125,60.1474,16.6258
15.023,Linux,36.9,9.5,1076.02734375,2546.5859375,1819.02734375,0.00390625,0.0,60.1358,16.629
16.024,Linux,59.9,12.1,1076.02734375,2543.3046875,1818.9609375,0.00390625,0.03125,61.4593,16.2709
17.026,Linux,66.9,11.6,1076.04296875,2545.90625,1818.94921875,0.00390625,0.0625,59.8277,16.7147
18.027,Linux,45.9,11.9,1076.046875,2544.6953125,1818.94921875,0.0078125,0.03125,7.35881,135.891
19.028,Linux,51.9,13.1,1077.23828125,2561.98046875,1818.9296875,0.0703125,0.01953125,60.4866,16.5326
20.03,Linux,40.9,39.0,1077.23828125,2781.28515625,1818.9921875,0.00390625,0.0546875,57.116,17.5082
21.031,Linux,43.0,39.1,1077.23828125,2853.50390625,1819.05859375,0.00390625,0.03125,62.8875,15.9014
22.032,Linux,42.0,37.4,1077.23828125,2998.4375,1819.12109375,0.00390625,0.03125,55.2738,18.0918
23.033,Linux,48.9,36.8,1077.23828125,3084.87109375,1819.25,0.00390625,0.0,60.3698,16.5646
24.034,Linux,48.0,39.1,1077.23828125,3090.90625,1819.25,0.00390625,0.03125,60.1866,16.615
25.035,Linux,43.0,42.2,1077.23828125,3091.1640625,1802.75,0.00390625,0.0234375,60.8707,16.4283
26.036,Linux,39.0,40.4,1077.23828125,3087.23828125,1802.54296875,0.00390625,0.0,60.0871,16.6425
27.039,Linux,48.9,36.7,1077.2421875,3089.40625,1802.57421875,0.00390625,0.0,53.816,18.5818
