elapsed,OS,CPU,CPU_OS,RAM,RAM_OS,SWAP_OS,I/O_output,I/O_input,fps,frametime
0.0030000000000001137,Linux,78.9,11.1,560.24609375,2319.5078125,1549.578125,0.015625,283.171875,NaN,NaN
1.004,Linux,80.9,10.8,836.34375,2570.13671875,1549.5625,0.0,295.9453125,NaN,NaN
2.0060000000000002,Linux,101.8,13.2,880.99609375,2572.078125,1549.5625,0.0,30.9296875,NaN,NaN
3.0069999999999997,Linux,81.9,13.9,916.12109375,2587.7421875,1552.83984375,0.015625,201.265625,NaN,NaN
4.009,Linux,105.9,18.4,1013.25390625,2665.81640625,1553.125,0.0,0.0,NaN,NaN
5.01,Linux,116.9,17.2,1051.3359375,2704.37109375,1553.56640625,0.015625,3.0859375,0.766473,1304.68
6.010999999999999,Linux,39.9,10.1,1057.48828125,2711.76953125,1553.56640625,0.0078125,0.02734375,60.1772,16.6176
7.013,Linux,39.9,9.6,1063.5546875,2717.38671875,1553.56640625,0.00390625,0.0,61.206,16.3383
8.014,Linux,34.9,9.1,1063.5546875,2716.35546875,1553.56640625,0.00390625,0.0,60.1675,16.6203
9.016,Linux,45.9,10.8,1071.203125,2723.109375,1553.56640625,0.015625,0.0,61.7185,16.2026
10.017,Linux,45.9,11.1,1076.54296875,2730.00390625,1553.56640625,0.00390625,0.0,61.5201,16.2549
11.019,Linux,48.9,11.2,1076.56640625,2724.80859375,1553.56640625,0.0078125,0.03125,60.4717,16.5367
12.02,Linux,39.9,10.6,1076.56640625,2724.05078125,1553.56640625,0.00390625,0.0,60.4743,16.536
13.022,Linux,71.9,12.3,1076.58203125,2722.54296875,1553.38671875,0.00390625,0.02734375,52.7479,18.9581
14.023,Linux,44.9,11.1,1076.58203125,2721.17578125,1553.38671875,0.00390625,0.0,62.7909,15.9259
15.024999999999999,Linux,64.9,12.3,1076.640625,2723.12109375,1553.38671875,0.0625,0.00390625,58.712,17.0323
16.026,Linux,108.8,15.2,1079.62109375,2724.7890625,1553.38671875,0.0078125,0.0078125,65.2924,15.3157
17.028,Linux,107.9,15.5,1079.6484375,2722.86328125,1553.3828125,0.00390625,0.0,170.974,5.84885
18.029,Linux,95.9,14.1,1091.09765625,2705.9453125,1577.8984375,0.0,83.28515625,0.750055,1333.24
19.031,Linux,94.9,17.1,1118.09375,2604.7109375,1617.2421875,0.0,39.61328125,NaN,NaN
20.032,Linux,95.8,14.1,1148.56640625,2587.92578125,1618.23828125,0.0,89.33203125,NaN,NaN
21.034,Linux,101.9,16.4,1196.63671875,2539.328125,1631.7109375,0.0,52.86328125,NaN,NaN
