elapsed,OS,CPU,CPU_OS,RAM,RAM_OS,SWAP_OS,I/O_output,I/O_input
0.001,Windows,0.0,0.0,36.625,3180.5625,688.6875,0.0,0.0
1.002,Windows,0.0,46.1,36.89453125,3227.28125,688.6796875,0.0,0.0
2.003,Windows,40.6,20.0,60.359375,3251.984375,688.6640625,0.0494928359985351,54.58246421813965
3.005,Windows,81.1,73.9,81.94140625,3350.59765625,687.25390625,0.0035247802734375,0.0159435272216796
4.007,Windows,99.9,74.3,82.94921875,3395.97265625,687.25,3.719329833984375e-05,0.02587890625
5.008,Windows,104.6,35.6,134.3984375,3428.8671875,687.23828125,0.0007057189941406,3.5362462997436523
6.009,Windows,93.6,16.5,360.83984375,3649.7734375,687.23828125,0.0010852813720703,149.0284547805786
7.01,Windows,68.7,10.7,769.0,4085.08984375,687.234375,0.0,428.0855989456177
8.011,Windows,96.8,17.0,790.15625,4072.49609375,687.234375,0.0,16.754220962524414
9.012,Windows,96.8,15.9,850.25390625,4131.90234375,687.234375,0.0,31.87965106964112
10.013,Windows,92.1,15.9,922.22265625,4204.3828125,687.234375,0.0,20.5810546875
11.014,Windows,71.8,13.4,1004.2421875,4481.60546875,687.234375,0.002817153930664,216.7468957901001
12.06,Windows,116.5,38.0,1013.55078125,4363.7734375,687.23046875,0.0005407333374023,4.301340103149414
13.061,Windows,112.4,34.6,1030.1953125,4474.8125,687.09375,0.0,2.3896484375
14.064,Windows,101.3,16.2,1119.484375,4559.609375,687.09375,0.0,3.0869140625
15.065,Windows,101.4,16.1,1172.71484375,4653.125,687.09375,9.059906005859376e-05,62.9874267578125
16.066,Windows,191.9,40.1,1203.67578125,4641.79296875,687.09375,0.0121583938598632,33.31117820739746
17.068,Windows,215.4,45.2,1207.1328125,4646.75390625,687.08984375,0.012181282043457,1.0205488204956057
18.069,Windows,195.1,30.6,1207.1484375,4646.5625,687.08984375,0.0140933990478515,9.194249153137209
19.07,Windows,212.2,40.5,1232.4375,4676.8671875,686.90625,0.0156784057617187,18.66812038421631
20.072,Windows,213.7,36.7,1232.4609375,4670.53515625,686.90625,0.0155315399169921,0.2520036697387695
21.073,Windows,223.2,35.9,1232.4609375,4672.3828125,686.90625,0.0155067443847656,0.1177101135253906
22.074,Windows,220.0,34.4,1232.265625,4671.7578125,686.90625,0.0155067443847656,0.5361671447753906
23.085,Windows,222.6,48.1,1232.2734375,4673.75,686.8359375,0.0157651901245117,0.3023786544799804
24.095,Windows,182.6,53.1,1232.25,4644.7890625,685.00390625,0.0155525207519531,0.3574562072753906
25.096,Windows,124.8,24.1,1232.25,4648.19921875,685.0,0.0156927108764648,0.0371780395507812
26.098,Windows,115.5,25.8,1228.24609375,4644.44140625,685.0,0.0155067443847656,0.0215187072753906
27.099,Windows,117.0,19.3,1228.24609375,4643.46484375,685.0,0.0155792236328125,0.0372076034545898
28.1,Windows,115.5,19.7,1228.25390625,4643.35546875,685.0,0.0155067443847656,0.0215187072753906
29.102,Windows,129.5,21.7,1245.59765625,4651.13671875,685.0,0.01495361328125,3.612184524536133
30.102,Windows,121.8,27.0,1302.0546875,4687.86328125,685.0,0.0735454559326171,0.069610595703125
31.104,Windows,79.6,17.8,1329.6796875,4709.6640625,684.99609375,0.2131004333496093,0.1354379653930664
32.105,Windows,74.9,24.5,1416.69140625,4807.08203125,684.984375,0.2667522430419922,0.181924819946289
33.106,Windows,101.4,26.7,1337.18359375,4741.92578125,684.9765625,0.0154829025268554,0.0223112106323242
34.108,Windows,120.2,22.1,1337.18359375,4740.51171875,684.97265625,0.0155792236328125,0.0327215194702148
