elapsed,OS,CPU,CPU_OS,RAM,RAM_OS,SWAP_OS,I/O_output,I/O_input
0.003,Windows,0.0,0.0,1.82421875,2701.203125,884.96484375,0.0,0.0
1.004,Windows,17.2,45.2,36.875,2888.06640625,850.6015625,0.0056581497192382,0.0
2.005,Windows,26.5,20.2,106.38671875,2947.7578125,850.6015625,0.0476875305175781,54.56672191619873
3.01,Windows,83.9,92.1,80.8046875,3026.72265625,850.6015625,0.0047636032104492,0.0158424377441406
4.031,Windows,99.5,95.9,82.12109375,3073.49609375,850.6015625,3.719329833984375e-05,0.02685546875
5.067,Windows,96.5,77.6,134.9453125,3161.5078125,836.99609375,0.0007057189941406,3.6671018600463854
6.068,Windows,99.9,44.4,293.40625,3341.18359375,836.99609375,0.0010852813720703,98.59480667114258
7.069,Windows,71.8,18.2,754.18359375,3832.390625,836.99609375,0.0,464.70340728759766
8.07,Windows,99.9,24.6,789.76953125,3841.25,836.99609375,0.0,30.43275737762451
9.072,Windows,96.7,16.1,858.546875,3900.47265625,836.99609375,0.0,31.88599872589112
10.073,Windows,98.3,26.4,925.32421875,3965.64453125,836.99609375,0.0,21.4443359375
11.074,Windows,74.9,14.8,993.1640625,4230.94921875,836.99609375,0.0027694702148437,215.88358783721924
12.076,Windows,110.7,31.5,996.73046875,4112.6640625,836.99609375,0.0005407333374023,4.315011978149414
13.077,Windows,109.3,33.5,1038.64453125,4265.1875,836.99609375,0.0,2.82958984375
14.078,Windows,99.9,19.0,1126.39453125,4344.3125,836.99609375,9.059906005859376e-05,17.524495124816895
15.079,Windows,109.3,18.1,1186.52734375,4428.1875,836.99609375,0.001617431640625,55.26711463928223
16.08,Windows,196.6,42.4,1210.03125,4418.15625,809.14453125,0.003972053527832,25.9776554107666
17.081,Windows,210.7,35.2,1213.10546875,4421.6015625,809.14453125,0.0122356414794921,4.249030113220215
18.083,Windows,213.7,39.5,1213.203125,4422.75390625,809.14453125,0.012181282043457,15.884202003479004
19.084,Windows,226.3,46.7,1237.65234375,4450.16015625,809.14453125,0.0139846801757812,9.117036819458008
20.085,Windows,216.9,35.3,1237.6796875,4446.9921875,809.14453125,0.0134716033935546,0.521336555480957
21.087,Windows,221.5,32.4,1237.68359375,4447.9375,809.14453125,0.0134468078613281,0.4114570617675781
22.088,Windows,137.3,23.0,1237.66015625,4446.06640625,809.14453125,0.0134925842285156,0.3338203430175781
23.089,Windows,120.2,22.9,1237.5625,4447.7890625,809.14453125,0.01385498046875,0.0456981658935546
24.09,Windows,113.9,26.8,1253.46484375,4458.6484375,809.14453125,0.013747215270996,4.4532880783081055
25.091,Windows,103.0,23.8,1270.34375,4458.2265625,809.14453125,0.0056171417236328,0.0564813613891601
26.092,Windows,81.2,14.9,1274.203125,4460.75,809.14453125,0.0140304565429687,0.0672769546508789
27.093,Windows,84.3,17.6,1270.203125,4457.3828125,809.14453125,0.0134468078613281,0.0364570617675781
28.095,Windows,92.0,14.2,1270.203125,4447.921875,809.14453125,0.0134468078613281,0.0364570617675781
29.097,Windows,107.6,17.7,1270.20703125,4453.01953125,809.14453125,0.0134468078613281,0.0208320617675781
30.098,Windows,112.4,18.8,1270.19921875,4452.4140625,809.14453125,0.0134468078613281,0.0364570617675781
31.099,Windows,110.8,18.3,1270.203125,4451.890625,809.14453125,0.0134468078613281,0.0208320617675781
32.1,Windows,114.0,19.5,1270.203125,4451.28125,809.14453125,0.0134468078613281,0.0364570617675781
33.101,Windows,121.7,21.2,1270.20703125,4451.14453125,809.14453125,0.0134468078613281,0.0208320617675781
34.102,Windows,115.5,19.6,1261.40625,4437.76171875,809.14453125,0.0134468078613281,0.0364570617675781
35.104,Windows,79.6,17.2,1261.46484375,4443.2734375,809.14453125,0.0141553878784179,0.0163984298706054
36.105,Windows,109.2,35.7,1261.6015625,4478.8828125,809.01953125,0.0396108627319335,2.7228012084960938
37.115,Windows,116.0,40.4,1261.60546875,4499.9921875,809.01953125,0.0134468078613281,0.0364570617675781
38.125,Windows,111.4,58.0,1261.60546875,4651.48046875,809.01953125,0.0136709213256835,0.020918846130371
39.126,Windows,85.8,49.3,1261.58203125,4748.11328125,809.01953125,0.0134468078613281,0.0364570617675781
40.128,Windows,92.0,44.7,1261.36328125,4781.68359375,809.01953125,0.0134468078613281,0.0208320617675781
41.13,Windows,99.9,46.3,1261.3671875,4814.62890625,809.01953125,0.0134468078613281,0.0364570617675781
42.131,Windows,120.2,50.8,1261.3671875,4798.7109375,809.01953125,0.0134468078613281,0.0208320617675781
43.133,Windows,121.6,52.8,1261.37109375,4902.90234375,809.01953125,0.0136327743530273,0.0364913940429687
44.135,Windows,120.1,48.1,1261.37109375,5018.88671875,809.01953125,0.0134849548339843,0.0208845138549804
45.136,Windows,120.1,53.0,1261.13671875,5083.36328125,809.01953125,0.0134468078613281,0.0364570617675781
46.14,Windows,126.1,50.2,1261.13671875,5081.71484375,809.01953125,0.0135583877563476,0.0208320617675781
47.142,Windows,118.5,47.1,1261.140625,4910.81640625,809.01953125,0.0134468078613281,0.0364570617675781
48.144,Windows,106.1,43.8,1261.140625,4947.03125,809.01953125,0.0134468078613281,0.0364570617675781
49.146,Windows,93.6,40.7,1261.14453125,4873.3046875,809.01953125,0.0134468078613281,0.0208320617675781
50.147,Windows,101.4,46.9,1261.1484375,4883.984375,809.01953125,0.0134468078613281,0.0364570617675781
51.148,Windows,118.6,43.2,1261.1484375,4937.921875,809.01953125,0.0134468078613281,0.0208320617675781
52.15,Windows,127.9,44.5,1261.1484375,5022.83984375,809.01953125,0.0136327743530273,0.0364913940429687
53.152,Windows,126.3,48.6,1261.15234375,5084.93359375,809.01953125,0.0134849548339843,0.0365095138549804
54.153,Windows,123.2,47.7,1261.15234375,5117.07421875,809.01953125,0.0134468078613281,0.0208320617675781
55.155,Windows,106.1,45.3,1261.15625,5127.48046875,809.01953125,0.0134468078613281,0.0163459777832031
56.156,Windows,73.4,40.7,1261.16015625,5180.875,809.01953125,0.0132226943969726,0.0519952774047851
57.158,Windows,79.5,38.3,1261.16015625,5180.93359375,809.01953125,0.0134468078613281,0.0364570617675781
